,file_path,label,length
0,train/tr_6863_tr69064.npy,0_13_1921_34_270_376_65_5_447_505_376_1803_2876_7_1182_43_88_65_13_2565_659_445_102_644_2628_55_1862_33_120_98_12_2013_36_2654_4_36_2044_1295_8_36_1688_38_368_121_193_63_22_186_40_1026_1561_299_1,2420
1,train/tr_6166_tr62067.npy,0_2273_3098_821_81_1545_12_569_34_3_1006_88_1383_1374_4_2571_667_3_257_1950_11_23_2303_34_5_4_3_13_714_13_14_1139_1051_1674_1021_48_6_58_462_8_103_212_47_137_21_211_116_2059_78_2687_11_112_805_6_772_993_273_12_4_1414_1,2292
2,train/tr_2565_tr26066.npy,0_3_179_4_235_26_6_39_3_699_4_192_378_398_2259_14_23_2077_5_4_836_762_3_13_2048_1347_72_1594_6_2416_2332_3_21_1151_24_1144_4_8_2342_37_1659_75_32_29_359_56_4_638_6_939_4_5_646_947_236_1,2279
3,train/tr_6163_tr62064.npy,0_13_1921_34_270_376_65_5_447_505_376_8_1803_2876_7_1182_43_88_65_13_2565_659_8_445_102_644_2628_55_1862_33_120_98_12_2013_36_2654_4_36_2044_1295_8_36_1961_26_368_121_193_63_22_186_40_1026_1561_299_1,2253
4,train/tr_8739_tr87020.npy,0_258_72_605_413_2624_6_683_5_56_376_5_338_45_4_770_19_4_11_44_10_5_92_3_945_4_3_199_35_521_4_2467_1758_1772_6_155_83_747_8_398_62_155_4_951_4600_2469_3925_2478_25_169_1351_1,2177
5,train/tr_8334_tr83095.npy,0_22_591_497_4_2767_558_12_4573_37_3_1897_208_198_3891_9_6_5_2039_28_3627_13_558_4918_2884_171_198_8_3_398_978_7_10_3870_7_771_94_3314_13_558_398_28_6_1796_3_208_198_200_19_1984_29_85_40_6_13_558_8_3337_13_558_1703_211_549_24_265_6_1028_2328_37_1021_13_558_5_289_14_24_4837_3854_20_309_1,2177
6,train/tr_8731_tr87012.npy,0_5_184_28_5_61_17_18_3_650_4_154_7_74_1368_286_1275_14_107_4_8_197_5_4_7_192_12_1872_244_29_11_44_5_40_1598_1190_7_3_2061_3310_8_3_958_2463_337_14_65_21_4957_1704_20_1,2164
7,train/tr_2560_tr26061.npy,0_204_1171_4_1529_5_261_747_632_95_54_1204_29_770_3_1277_1253_4_8_1794_930_164_33_1049_232_326_40_2435_77_6_1271_1781_5_3_571_38_22_787_1555_195_42_951_10_67_172_1,2113
8,train/tr_2212_tr23013.npy,0_17_488_77_113_8_207_13_1329_50_305_5_366_41_137_693_4360_16_17_302_51_17_220_3_498_38_610_18_1872_267_607_3100_925_139_1,2100
9,train/tr_16_tr01016.npy,0_1197_112_189_37_22_712_18_192_32_17_4718_51_754_245_6_17_3070_14_2395_27_241_17_24_14_253_53_517_245_6_17_119_4_274_3198_8_18_226_13_1532_449_676_11_12_40_635_2060_4_1366_45_1,2074
10,train/tr_6866_tr69067.npy,0_2273_3098_821_81_158_12_569_14_3_1006_88_1383_1374_4_2571_33_3_257_1950_11_23_2303_34_5_4_3_2356_9_1021_48_6_58_462_8_103_212_953_872_21_211_116_2059_78_2687_51_112_805_6_772_993_273_12_4_1414_1,2061
11,train/tr_85_tr01085.npy,0_12_3025_13_1636_6_1445_3090_6_2883_41_171_1661_2822_4_6_6_1727_37_1091_892_255_14_7_8_3_1888_7_173_34_6_6_126_7_41_1090_226_57_6_12_1420_37_4366_14_1561_9_1972_9_6_3621_274_27_122_1,2049
12,train/tr_2566_tr26067.npy,0_5_888_1459_508_4_55_1622_62_123_133_1551_26_6_221_2188_3_2138_789_8_3_1724_7_56_4_10_18_74_90_274_716_9_6_10_14_359_19_1345_225_1364_114_574_4_914_468_9_685_146_1,2036
13,train/tr_2365_tr24066.npy,0_3_179_4_235_26_6_39_3_699_4_192_32_6_398_2259_14_1183_16_5_4_836_762_3_13_2048_1347_72_1594_6_6_2416_2332_3_21_1151_24_1144_4_8_2342_37_1659_75_32_29_359_56_4_638_6_939_4_5_646_947_236_1,1997
14,train/tr_6865_tr69066.npy,0_2728_789_5_18_8_5_61_465_13_2664_25_3_851_4_414_4_3_338_1131_487_285_20_46_3_749_1109_2049_11_5_506_240_1840_44_321_128_910_32_12_623_41_2060_232_6_2266_82_692_1,1946
